編號,答案,類近題目
45091201,"第 1 課 第 1 題
Chapter 1 Question 1
📌 參考答案
D. 消化澱粉質
D. Digestion of starch
📌 詳細解釋
題目問以下哪項屬於分解代謝過程。
The question asks which of the following is a catabolic process.
分解代謝是指將大分子分解為小分子的化學反應。
Catabolism refers to the chemical reactions that break down large molecules into smaller ones.
消化澱粉質涉及在澱粉酶的作用下，將澱粉（大分子）水解成麥芽糖（小分子），因此屬於分解代謝。
Digesting starch involves hydrolyzing starch (a large molecule) into maltose (a small molecule) by amylase, so it is a catabolic process.
其他選項分析：
Analysis of other options:
A. 葡萄糖縮合成糖原是將小分子結合成大分子，屬於合成代謝。
A. Condensation of glucose into glycogen builds large molecules from smaller ones, which is an anabolic process.
B. 吸收過程只涉及擴散和主動運輸，沒有化學反應，不屬於分解代謝。
B. Absorption only involves diffusion and active transport without chemical reactions, so it is not a catabolic process.
C. 脂肪乳化只是將大脂滴打散成小脂滴的物理變化，並非化學分解。
C. Emulsification of fats is merely a physical change breaking large fat droplets into smaller ones, not a chemical breakdown.
📌 考試提醒
分解代謝 (Catabolism)：大分子分解成小分子，通常會釋放能量（例如呼吸作用）。
Catabolism: Breaking down large molecules into small ones, usually releasing energy (e.g., respiration).
合成代謝 (Anabolism)：小分子合成大分子，需要消耗能量（例如光合作用）。
Anabolism: Synthesizing large molecules from small ones, requiring energy input (e.g., photosynthesis).
常見錯誤：學生常把脂肪乳化誤當成化學分解，緊記乳化只是增加表面積的物理過程，不涉及酶破壞化學鍵。
Common trap: Students often mistake fat emulsification for chemical breakdown; remember it is a physical process increasing surface area and does not involve enzymes breaking chemical bonds.
📌 改正試一試
脂肪乳化只是物理變化，並不涉及化學鍵的分解。
Fat emulsification is merely a physical change and does not involve the breakdown of chemical bonds.",
45091202,"第 1 課 第 2 題
Chapter 1 Question 2
📌 參考答案
B. 只有(1)和(2)
B. (1) and (2) only
📌 詳細解釋
題目問及有關科學探究假說的正確描述。
The question asks for the correct descriptions of a hypothesis in scientific inquiry.
假說是對觀察到的現象提出的一個初步且合理的解釋。
A hypothesis is a preliminary and reasonable explanation proposed for an observed phenomenon.
這個解釋必須能夠透過設計實驗來進行驗證。
This explanation must be able to be tested by designing experiments.
選項(3)是錯誤的，因為即使實驗結果支持假說，假說也未必絕對正確，未來仍有可能被新證據推翻。
Option (3) is incorrect because even if experimental results support the hypothesis, it is not necessarily absolutely correct and may still be overthrown by new evidence in the future.
📌 考試提醒
科學假說 (Scientific hypothesis)：基於觀察而提出、可被客觀實驗測試的初步解釋。
Scientific hypothesis: A preliminary explanation based on observation that can be tested by objective experiments.
常見錯誤：學生常誤以為一次成功的實驗就能把假說變成絕對真理，忽略了科學知識的可修正性。
Common trap: Students often mistakenly believe a single successful experiment turns a hypothesis into an absolute truth, ignoring the tentative nature of scientific knowledge.
📌 改正試一試
假說必須能夠透過實驗驗證，且並非絕對不變的真理。
A hypothesis must be verifiable through experiment and is not an absolute, immutable truth.",
45091203,"第 1 課 第 3 題
Chapter 1 Question 3
📌 參考答案
B. 生態學 － 進化的機制
B. Ecology – Mechanism of evolution
📌 詳細解釋
這條題目要求找出錯誤配對的生物學分科。
This question requires identifying the incorrectly paired branch of biology.
生態學是研究生物之間，以及生物與其物理環境之間相互關係的科學。
Ecology is the scientific study of the interactions among organisms and between organisms and their physical environment.
進化的機制屬於進化生物學的研究範疇，而不是生態學，因此選項 B 是不正確的配對。
The mechanism of evolution falls under evolutionary biology rather than ecology, making option B an incorrect pairing.
其他選項均正確描述了生物工程、生理學和分類學的研究範圍。
Other options correctly describe the study scopes of bioengineering, physiology, and taxonomy.
📌 考試提醒
生態學 (Ecology)：專注於生物與生物之間，以及生物與非生物環境之間的互動。
Ecology: Focuses on the interactions between organisms and other organisms, as well as between organisms and the abiotic environment.
常見錯誤：學生容易把生態學與進化論混為一談，前者側重當下環境互動，後者側重物種隨時間的改變。
Common trap: Students easily confuse ecology with evolution; the former focuses on present environmental interactions, while the latter focuses on species changes over time.
📌 改正試一試
生態學探討生物與環境的互動，而非物種演化的機制。
Ecology explores interactions between organisms and the environment, not the mechanisms of species evolution.",
45091204,"Chapter 1 Question 4
📌 參考答案
A. 生態學
A. Ecology
📌 詳細解釋
題目問哪一門分科是研究生物和環境的相互關係。
The question asks which branch studies the interrelationships between living organisms and their environment.
生態學正是專門探討生物個體、群體與其生存環境之間互動關係的學科。
Ecology is exactly the discipline dedicated to exploring the interactive relationships between individual organisms, populations, and their living environments.
細胞學主要研究細胞結構，動物學專門研究動物，而生理學則探討生物體器官如何運作。
Cytology mainly studies cell structures, zoology specializes in animals, and physiology explores how organism organs function.
📌 考試提醒
生物與環境的相互關係 (Interactions between organisms and environment)：這是生態學的核心定義。
Interactions between organisms and environment: This is the core definition of ecology.
常見錯誤：部分考生未能記清基礎生物學分科的定義，導致在第一章的簡單多項選擇題中無謂失分。
Common trap: Some candidates fail to memorize the definitions of basic biological branches, leading to unnecessary loss of marks in simple Chapter 1 multiple-choice questions.
📌 改正試一試
生態學專門研究生物之間及生物與環境之間的相互關係。
Ecology specifically studies the interactions among organisms and between organisms and their environment.",
45091205,"第 1 課 第 5 題Chapter 1 Question 5
📌 參考答案
B. 感應性
B. Irritability
📌 詳細解釋
題目詢問生物探測環境變化並作出反應的詞彙。
The question asks for the term referring to an organism detecting environmental changes and making a response.
感應性是生物的七大共同特徵之一，定義就是接收內在或外在刺激並產生適當的反應。
Irritability is one of the seven common characteristics of living organisms, defined as receiving internal or external stimuli and producing an appropriate response.
運動是指生物體改變位置或姿勢，生殖是產生後代，兩者皆不是探測環境變化的專有名詞。
Movement refers to an organism changing position or posture, and reproduction is producing offspring; neither is the specific term for detecting environmental changes.
觀察是人類科學探究的步驟，並非所有生物的生理特徵。
Observation is a step in human scientific inquiry, not a physiological characteristic of all organisms.
📌 考試提醒
感應性 (Irritability)：生物接收環境刺激（如光線、温度）並產生反應以提高生存機會的能力。
Irritability: The ability of organisms to receive environmental stimuli (e.g., light, temperature) and react to increase survival chances.
常見錯誤：學生常把「運動」等同於「感應性」，但植物展現感應性時（如向光生長），其反應是生長而非四處移動。
Common trap: Students often equate ""movement"" with ""irritability"", but when plants exhibit irritability (like growing towards light), their response is growth rather than moving around.
📌 改正試一試
感應性是生物探測環境刺激並作出適當反應的能力。
Irritability is the ability of an organism to detect environmental stimuli and make appropriate responses.  ",
45091206,"第 1 課 第 6 題
Chapter 1 Question 6
📌 參考答案
D. (1)、(2)和(3)
D. (1), (2) and (3)
📌 詳細解釋
題目要求選出動物排出代謝廢物的途徑。
The question requires selecting the pathways through which animals excrete metabolic wastes.
代謝廢物是細胞內化學反應產生的有毒或多餘物質，如尿素、二氧化碳及多餘水份。
Metabolic wastes are toxic or excess substances produced by intracellular chemical reactions, such as urea, carbon dioxide, and excess water.
排汗能排出水、鹽和少量尿素，排尿能排出水、尿素和鹽，呼氣能排出二氧化碳和水蒸氣。
Sweating excretes water, salts, and a small amount of urea; urination excretes water, urea, and salts; exhalation excretes carbon dioxide and water vapour.
因此，(1)、(2)及(3)全部都是正確的排泄途徑。
Therefore, (1), (2), and (3) are all correct excretory pathways.
📌 考試提醒
排泄途徑 (Excretory pathways)：哺乳類動物主要依賴肺臟（呼氣）、腎臟（排尿）及皮膚（排汗）進行排泄。
Excretory pathways: Mammals mainly rely on lungs (exhalation), kidneys (urination), and skin (sweating) for excretion.
常見錯誤：學生容易忘記呼氣也是一種排泄形式，誤以為只有液體狀的廢物（如尿液或汗液）才算排泄物。
Common trap: Students easily forget that exhalation is also a form of excretion, mistakenly thinking only liquid wastes (like urine or sweat) count as excretory products.
📌 改正試一試
排汗、排尿及呼氣均能將細胞代謝廢物排出體外。
Sweating, urination, and exhalation all remove cellular metabolic wastes from the body.",
45091207,"第 1 課 第 7 題
Chapter 1 Question 7
📌 參考答案
C. 生物的細胞藉呼吸作用把食物分解以獲取能量。
C. Cells of living organisms break down food through respiration to obtain energy.
📌 詳細解釋
題目問及哪一項是關於呼吸作用的正確敍述。
The question asks which of the following is a correct statement about respiration.
呼吸作用是一個發生在活細胞內的化學過程，透過分解有機食物（主要為葡萄糖）來釋放能量。
Respiration is a chemical process occurring in living cells that releases energy by breaking down organic food (mainly glucose).
選項 A 描述的是氣體交換或呼吸（Breathing）的物理動作，並非細胞層面的呼吸作用。
Option A describes the physical action of gas exchange or breathing, not respiration at the cellular level.
選項 B 錯誤，植物細胞同樣需要能量，因此必須不分晝夜進行呼吸作用。
Option B is incorrect because plant cells also need energy and must carry out respiration day and night.
選項 D 錯誤，某些生物或細胞在缺氧環境下也能進行缺氧呼吸。
Option D is incorrect because some organisms or cells can also carry out anaerobic respiration in the absence of oxygen.
📌 考試提醒
呼吸作用 (Respiration)：所有活細胞必須進行的化學反應，目的是分解食物釋放能量（ATP）。
Respiration: A chemical reaction that all living cells must perform to break down food and release energy (ATP).
常見錯誤：考生常將日常用語中的「呼吸（Breathing）」與生物學上的「呼吸作用（Respiration）」混淆，前者是物理氣體進出，後者是化學能量釋放。
Common trap: Candidates often confuse the everyday term ""breathing"" with biological ""respiration""; the former is physical gas movement, the latter is chemical energy release.
📌 改正試一試
呼吸作用是活細胞分解食物釋放能量的化學反應。
Respiration is the chemical reaction in living cells that breaks down food to release energy.",
45091208,"第 1 課 第 8 題Chapter 1 Question 8
📌 參考答案
C. 呼吸作用
C. Respiration
📌 詳細解釋
題目詢問哪個過程可產生能量以供應運動、生長及組織修補所需。
The question asks which process generates energy to supply movement, growth, and tissue repair.
在所有活細胞中，唯一能分解有機食物並釋出可用化學能（ATP）的過程就是呼吸作用。
In all living cells, the only process that breaks down organic food and releases usable chemical energy (ATP) is respiration.
選項 A 錯誤，光合作用是吸收光能並轉化為食物化學能的過程，不能直接為細胞活動供能。
Option A is incorrect because photosynthesis absorbs light energy and converts it into food chemical energy, which cannot directly power cellular activities.
選項 B 和 D 錯誤，排泄和主動轉運是消耗能量的生理活動，而非產生能量的途徑。
Options B and D are incorrect because excretion and active transport are energy-consuming physiological activities, not energy-generating pathways.
📌 考試提醒
能量貨幣 (Energy currency)：呼吸作用釋放的能量會儲存在 ATP 分子中，直接推動各項生命活動。
Energy currency: The energy released from respiration is stored in ATP molecules to directly drive various life activities.
常見錯誤：學生有時會誤以為植物靠光合作用直接獲取活動能量，忽略了植物也必須經過呼吸作用來提取食物中的能量。
Common trap: Students sometimes mistakenly believe plants directly obtain activity energy from photosynthesis, ignoring that plants must also use respiration to extract energy from food.
📌 改正試一試
呼吸作用是生物體內唯一能將食物化學能轉化為可用能量的過程。
Respiration is the only process in organisms that converts chemical energy in food into usable energy.  ",
45091209,"第 1 課 第 9 題
Chapter 1 Question 9
📌 參考答案
C. 只有(2)、(3)和(4)
C. (2), (3) and (4) only
📌 詳細解釋
這條題目要求辨認出所有生物必定具備的共同特徵。
This question requires identifying the common characteristics necessarily possessed by all living organisms.
所有生物都必須具備七大特徵，當中包括排泄(2)、營養(3)及感應性(4)。
All living organisms must possess seven common characteristics, which include excretion (2), nutrition (3), and irritability (4).
選項 (1)「從一處走到另一處」指的是移動（Locomotion），大多數植物只能作局部運動而不能整體移動，故不是所有生物的特徵。
Option (1) ""moving from one place to another"" refers to locomotion; most plants can only make localized movements and cannot move as a whole, so it is not a characteristic of all organisms.
📌 考試提醒
運動與移動的分別 (Movement vs. Locomotion)：所有生物都能「運動」（如植物向光彎曲），但只有部分動物能「移動」（改變整個個體的位置）。
Movement vs. Locomotion: All organisms can ""move"" (like plants bending towards light), but only some animals can ""locomote"" (changing the position of the whole individual).
常見錯誤：考生常把生物特徵中的「運動（Movement）」狹義地理解為動物的「走動（Locomotion）」，從而錯誤判斷所有生物都會走動。
Common trap: Candidates often narrowly interpret the biological characteristic of ""movement"" as animal ""locomotion"", falsely judging that all organisms can walk.
📌 改正試一試
所有生物均具備運動能力，但整體位置的移動（如走動）並非所有生物的特徵。
All organisms possess the ability to move, but whole-body locomotion (like walking) is not a characteristic of all organisms.",
45091210,"第 1 課 第 10 題
Chapter 1 Question 10
📌 參考答案
D. 動物排出糞便。
D. Animals expelling faeces.
📌 詳細解釋
這條題目測試考生對「排泄」定義的準確理解。
This question tests candidates' accurate understanding of the definition of ""excretion"".
排泄嚴格指將細胞代謝作用產生的廢物排出體外。
Excretion strictly refers to the removal of wastes produced by cellular metabolism out of the body.
動物排出糞便是排遺（Egestion），因為糞便主要由消化道內未被消化和吸收的食物殘渣組成，從未進入細胞參與代謝。
Animals expelling faeces is egestion, because faeces mainly consist of undigested and unabsorbed food residues in the digestive tract that never entered cells to participate in metabolism.
植物落葉、釋出二氧化碳及排出尿液均涉及清除細胞代謝產物，故屬於排泄。
Leaves falling from plants, releasing carbon dioxide, and expelling urine all involve clearing cellular metabolic products, thus belonging to excretion.
📌 考試提醒
排泄與排遺 (Excretion and Egestion)：排泄處理細胞內的代謝廢物；排遺處理消化道內未被吸收的殘渣。
Excretion and Egestion: Excretion deals with metabolic wastes from inside cells; egestion deals with unabsorbed residues in the digestive tract.
常見錯誤：把糞便當成代謝廢物是文憑試考生最常犯的低級錯誤，必須牢牢記住糞便不屬於排泄物。
Common trap: Treating faeces as a metabolic waste is the most frequent basic mistake made by DSE candidates; you must firmly remember that faeces are not excretory products.
📌 改正試一試
糞便從未進入細胞參與化學反應，因此排糞不屬於排泄。
Faeces never entered cells to participate in chemical reactions, so defecation is not excretion.",
